loan_id,assessment_date,stage_2_probability,predicted_stage
LN-00000079,2024-Q3,0.9718633,1
LN-00000080,2024-Q1,0.4653952,0
LN-00000081,2021-Q3,0.7680017,1
LN-00000082,2023-Q3,0.7336142,1
LN-00000083,2022-Q2,0.6223151,1
LN-00000084,2023-Q2,0.95732147,1
LN-00000085,2024-Q2,0.4922271,0
LN-00000086,2022-Q3,0.31341067,0
LN-00000087,2022-Q2,0.101289436,0
LN-00000088,2022-Q4,0.089923315,0
LN-00000089,2022-Q1,0.1033777,0
LN-00000090,2022-Q1,0.67627174,1
LN-00000091,2024-Q1,0.27695602,0
LN-00000092,2021-Q2,0.48375374,0
LN-00000093,2022-Q2,0.13792548,0
LN-00000094,2023-Q2,0.9898088,1
LN-00000095,2022-Q3,0.10010976,0
LN-00000096,2024-Q1,0.8147655,1
LN-00000097,2021-Q2,0.93155146,1
LN-00000098,2023-Q4,0.04198102,0
LN-00000099,2024-Q2,0.39618415,0
LN-00000100,2021-Q3,0.12734921,0
LN-00000101,2023-Q2,0.08113407,0
LN-00000102,2023-Q3,0.23216254,0
LN-00000103,2024-Q1,0.16850956,0
LN-00000104,2022-Q4,0.63615143,1
LN-00000105,2022-Q3,0.66490304,1
LN-00000106,2022-Q3,0.101553634,0
LN-00000107,2022-Q4,0.67769575,1
LN-00000108,2022-Q2,0.4949532,0
LN-00000109,2023-Q3,0.69975644,1
LN-00000110,2022-Q4,0.97061163,1
LN-00000111,2024-Q3,0.7566328,1
LN-00000112,2023-Q1,0.059007447,0
LN-00000113,2022-Q2,0.44926953,0
LN-00000114,2021-Q4,0.045732565,0
LN-00000115,2022-Q4,0.35835215,0
LN-00000116,2021-Q2,0.9291467,1
LN-00000117,2022-Q2,0.59334457,1
LN-00000118,2022-Q4,0.078469165,0
LN-00000119,2023-Q3,0.25784382,0
LN-00000120,2022-Q3,0.056934766,0
LN-00000121,2024-Q4,0.16203792,0
LN-00000122,2021-Q2,0.5509939,1
LN-00000123,2022-Q3,0.3533925,0
LN-00000124,2022-Q1,0.17028868,0
LN-00000125,2024-Q4,0.8063418,1
LN-00000126,2023-Q2,0.150737,0
LN-00000127,2024-Q1,0.9071327,1
LN-00000128,2023-Q3,0.19874856,0
LN-00000129,2022-Q1,0.9214586,1
LN-00000130,2024-Q3,0.18654406,0
LN-00000131,2021-Q4,0.37555277,0
LN-00000132,2023-Q1,0.12041882,0
LN-00000133,2023-Q3,0.06049747,0
LN-00000134,2024-Q1,0.07046935,0
LN-00000135,2023-Q3,0.06084472,0
LN-00000136,2023-Q1,0.14591941,0
LN-00000137,2021-Q2,0.11564185,0
LN-00000138,2024-Q1,0.60596305,1
LN-00000139,2024-Q3,0.066354506,0
LN-00000140,2022-Q3,0.98970544,1
LN-00000141,2023-Q2,0.1393275,0
LN-00000142,2021-Q2,0.06506111,0
LN-00000143,2023-Q1,0.16453218,0
LN-00000144,2022-Q4,0.4998912,0
LN-00000145,2024-Q2,0.15937366,0
LN-00000146,2024-Q1,0.47873265,0
LN-00000147,2024-Q4,0.13806127,0
LN-00000148,2021-Q2,0.30642822,0
LN-00000149,2024-Q2,0.90264064,1
LN-00000150,2022-Q2,0.29745117,0
LN-00000151,2024-Q2,0.25709575,0
LN-00000152,2024-Q2,0.09061174,0
LN-00000153,2021-Q3,0.17959477,0
LN-00000154,2021-Q4,0.2608056,0
LN-00000155,2022-Q2,0.22558984,0
LN-00000156,2022-Q2,0.94866747,1
LN-00000157,2021-Q3,0.8578826,1
LN-00000158,2024-Q4,0.82471156,1
LN-00000159,2022-Q4,0.39915368,0
LN-00000160,2023-Q4,0.7236119,1
LN-00000161,2022-Q3,0.6123178,1
LN-00000162,2023-Q4,0.489495,0
LN-00000163,2024-Q3,0.040837117,0
LN-00000164,2024-Q4,0.10767468,0
LN-00000165,2022-Q3,0.056911256,0
LN-00000166,2021-Q1,0.39414,0
LN-00000167,2024-Q3,0.03949119,0
LN-00000168,2023-Q1,0.8243039,1
LN-00000169,2023-Q1,0.9047434,1
LN-00000170,2024-Q4,0.841951,1
LN-00000171,2024-Q4,0.13694644,0
LN-00000172,2021-Q3,0.43922144,0
LN-00000173,2024-Q2,0.05186237,0
LN-00000174,2024-Q1,0.9695495,1
LN-00000175,2022-Q3,0.08853729,0
LN-00000176,2024-Q2,0.9648112,1
LN-00000177,2022-Q1,0.48549634,0
LN-00000178,2022-Q2,0.98519725,1
LN-00000179,2023-Q3,0.9381055,1
LN-00000180,2023-Q1,0.093001276,0
LN-00000181,2022-Q1,0.68236035,1
LN-00000182,2022-Q1,0.80301017,1
LN-00000183,2023-Q3,0.26767707,0
LN-00000184,2021-Q3,0.55840766,1
LN-00000185,2023-Q3,0.097305804,0
LN-00000186,2021-Q4,0.06554953,0
LN-00000187,2021-Q2,0.22041896,0
LN-00000188,2021-Q1,0.025028318,0
LN-00000189,2024-Q1,0.05674274,0
LN-00000190,2023-Q3,0.13754813,0
LN-00000191,2024-Q1,0.36601913,0
LN-00000192,2022-Q4,0.90972155,1
LN-00000193,2022-Q2,0.33075365,0
LN-00000194,2023-Q4,0.36162937,0
LN-00000195,2023-Q2,0.63449836,1
LN-00000196,2022-Q4,0.8368607,1
LN-00000197,2022-Q4,0.36989194,0
LN-00000198,2021-Q4,0.15901634,0
LN-00000199,2021-Q4,0.6434818,1
LN-00000200,2022-Q1,0.94941837,1
LN-00000201,2022-Q1,0.06161201,0
LN-00000202,2023-Q2,0.055281334,0
LN-00000203,2021-Q3,0.08115643,0
LN-00000204,2022-Q1,0.9746379,1
LN-00000205,2022-Q2,0.8424297,1
LN-00000206,2023-Q3,0.13924332,0
LN-00000207,2023-Q1,0.4812687,0
LN-00000208,2021-Q4,0.49294552,0
LN-00000209,2023-Q4,0.025482958,0
LN-00000210,2022-Q1,0.08610646,0
LN-00000211,2021-Q2,0.20956147,0
LN-00000212,2024-Q3,0.97737545,1
LN-00000213,2024-Q1,0.15031955,0
LN-00000214,2023-Q4,0.08712415,0
LN-00000215,2024-Q1,0.58206445,1
LN-00000216,2024-Q1,0.11863319,0
LN-00000217,2022-Q4,0.257071,0
LN-00000218,2022-Q3,0.3294295,0
LN-00000219,2024-Q1,0.03615532,0
LN-00000220,2023-Q4,0.5116571,1
LN-00000221,2022-Q3,0.9725156,1
LN-00000222,2021-Q1,0.4496238,0
LN-00000223,2024-Q4,0.094921865,0
LN-00000224,2023-Q1,0.20634712,0
LN-00000225,2023-Q2,0.9172892,1
LN-00000226,2023-Q3,0.21246451,0
LN-00000227,2023-Q1,0.5785188,1
LN-00000228,2021-Q3,0.8969149,1
LN-00000229,2023-Q4,0.51849204,1
LN-00000230,2022-Q1,0.032057513,0
LN-00000231,2024-Q1,0.24903634,0
LN-00000232,2023-Q3,0.15488684,0
LN-00000233,2021-Q2,0.06981928,0
LN-00000234,2023-Q3,0.68718433,1
LN-00000235,2024-Q2,0.38691956,0
LN-00000236,2023-Q1,0.10793945,0
LN-00000237,2023-Q3,0.11586795,0
LN-00000238,2024-Q4,0.12146387,0
LN-00000239,2022-Q3,0.034098808,0
LN-00000240,2024-Q3,0.44411135,0
LN-00000241,2022-Q3,0.2929013,0
LN-00000242,2023-Q3,0.45572844,0
LN-00000243,2024-Q3,0.16389605,0
LN-00000244,2024-Q3,0.19612144,0
LN-00000245,2023-Q1,0.90086275,1
LN-00000246,2024-Q2,0.04795217,0
LN-00000247,2024-Q1,0.4059716,0
LN-00000248,2022-Q1,0.3237985,0
LN-00000249,2021-Q2,0.15424728,0
LN-00000250,2024-Q1,0.5114587,1
LN-00000251,2023-Q4,0.09476594,0
LN-00000252,2024-Q3,0.41647568,0
LN-00000253,2022-Q2,0.15748224,0
LN-00000254,2024-Q4,0.6760029,1
LN-00000255,2023-Q1,0.15164703,0
LN-00000256,2021-Q3,0.23620705,0
LN-00000257,2024-Q2,0.58981967,1
LN-00000258,2024-Q2,0.2901337,0
LN-00000259,2022-Q1,0.082386054,0
LN-00000260,2022-Q4,0.14960949,0
LN-00000261,2023-Q2,0.49932048,0
LN-00000262,2021-Q3,0.71486676,1
LN-00000263,2023-Q1,0.059244193,0
LN-00000264,2022-Q4,0.40804508,0
LN-00000265,2024-Q3,0.46276888,0
LN-00000266,2023-Q1,0.41336152,0
LN-00000267,2023-Q3,0.21821648,0
LN-00000268,2024-Q1,0.5742625,1
LN-00000269,2024-Q3,0.85582113,1
LN-00000270,2022-Q1,0.48367542,0
LN-00000271,2023-Q1,0.33150673,0
LN-00000272,2024-Q2,0.49562624,0
LN-00000273,2024-Q3,0.11033522,0
LN-00000274,2023-Q2,0.2674075,0
LN-00000275,2023-Q1,0.5370674,1
LN-00000276,2022-Q4,0.30241385,0
LN-00000277,2024-Q1,0.3175379,0
LN-00000278,2023-Q1,0.10502804,0
LN-00000279,2023-Q3,0.6736088,1
LN-00000280,2023-Q4,0.9482134,1
LN-00000281,2023-Q4,0.062131025,0
LN-00000282,2021-Q4,0.23252824,0
LN-00000283,2021-Q4,0.34329757,0
LN-00000284,2023-Q2,0.029260788,0
LN-00000285,2023-Q4,0.44486734,0
LN-00000286,2021-Q3,0.34240866,0
LN-00000287,2022-Q4,0.8987513,1
LN-00000288,2021-Q2,0.27061182,0
LN-00000289,2023-Q2,0.20032164,0
LN-00000290,2021-Q4,0.17372064,0
LN-00000291,2023-Q3,0.094237454,0
LN-00000292,2024-Q2,0.32857412,0
LN-00000293,2024-Q2,0.055340834,0
LN-00000294,2022-Q1,0.23863663,0
LN-00000295,2024-Q3,0.19897388,0
LN-00000296,2024-Q1,0.71475124,1
LN-00000297,2021-Q3,0.20619264,0
LN-00000298,2023-Q3,0.5348576,1
LN-00000299,2023-Q1,0.340548,0
LN-00000300,2023-Q3,0.13196419,0
LN-00000301,2022-Q1,0.0887972,0
LN-00000302,2024-Q4,0.48124608,0
LN-00000303,2023-Q3,0.05295472,0
LN-00000304,2024-Q2,0.85289395,1
LN-00000305,2023-Q4,0.4327433,0
LN-00000306,2024-Q1,0.9174079,1
LN-00000307,2022-Q1,0.047661114,0
LN-00000308,2023-Q3,0.28472158,0
LN-00000309,2022-Q3,0.12871894,0
LN-00000310,2022-Q2,0.05678233,0
LN-00000311,2022-Q2,0.94728065,1
LN-00000312,2024-Q3,0.61709094,1
LN-00000313,2024-Q3,0.41999987,0
LN-00000314,2022-Q4,0.030899478,0
LN-00000315,2021-Q4,0.73841506,1
LN-00000316,2024-Q1,0.107676536,0
LN-00000317,2024-Q3,0.10162964,0
LN-00000318,2021-Q1,0.06303248,0
LN-00000319,2023-Q3,0.066493124,0
LN-00000320,2022-Q3,0.46044934,0
LN-00000321,2021-Q3,0.06467499,0
LN-00000322,2024-Q2,0.2650283,0
LN-00000323,2022-Q4,0.20871425,0
LN-00000324,2022-Q1,0.124553435,0
LN-00000325,2024-Q2,0.85106194,1
LN-00000326,2022-Q3,0.30750224,0
LN-00000327,2021-Q2,0.06313165,0
LN-00000328,2021-Q4,0.11274509,0
LN-00000329,2022-Q3,0.98436373,1
LN-00000330,2021-Q4,0.1355103,0
LN-00000331,2024-Q1,0.08082046,0
LN-00000332,2023-Q1,0.072993904,0
LN-00000333,2022-Q4,0.064970985,0
LN-00000334,2023-Q4,0.4133106,0
LN-00000335,2021-Q2,0.26567122,0
LN-00000336,2023-Q1,0.28567144,0
LN-00000337,2023-Q3,0.62322754,1
LN-00000338,2024-Q1,0.11330053,0
LN-00000339,2023-Q3,0.2612815,0
LN-00000340,2022-Q3,0.2691985,0
LN-00000341,2023-Q1,0.24625325,0
LN-00000342,2024-Q1,0.61924213,1
LN-00000343,2021-Q2,0.2888063,0
LN-00000344,2023-Q4,0.28849804,0
LN-00000345,2023-Q2,0.40565544,0
LN-00000346,2023-Q1,0.16911703,0
LN-00000347,2022-Q2,0.06941217,0
LN-00000348,2022-Q4,0.100098036,0
LN-00000349,2023-Q2,0.19962198,0
LN-00000350,2023-Q1,0.6633915,1
LN-00000351,2024-Q3,0.10863993,0
LN-00000352,2023-Q1,0.1463777,0
LN-00000353,2022-Q4,0.93579847,1
LN-00000354,2021-Q1,0.5949891,1
LN-00000355,2022-Q1,0.94608164,1
LN-00000356,2024-Q2,0.3948458,0
LN-00000357,2024-Q1,0.1247425,0
LN-00000358,2024-Q2,0.53444237,1
LN-00000359,2024-Q2,0.11976357,0
LN-00000360,2022-Q4,0.39092016,0
LN-00000361,2021-Q3,0.44402072,0
LN-00000362,2023-Q2,0.3703847,0
LN-00000363,2024-Q2,0.11986509,0
LN-00000364,2023-Q3,0.09824758,0
LN-00000365,2024-Q3,0.11074216,0
LN-00000366,2023-Q2,0.093673125,0
LN-00000367,2023-Q3,0.0873798,0
LN-00000368,2021-Q3,0.07922582,0
LN-00000369,2022-Q3,0.20640767,0
LN-00000370,2022-Q1,0.30065188,0
LN-00000371,2024-Q1,0.09119032,0
LN-00000372,2024-Q4,0.6949548,1
LN-00000373,2022-Q2,0.11534107,0
LN-00000374,2023-Q2,0.031021405,0
LN-00000375,2024-Q1,0.18126856,0
LN-00000376,2022-Q3,0.7216525,1
LN-00000377,2024-Q2,0.3973591,0
LN-00000378,2022-Q1,0.8150039,1
LN-00000379,2023-Q2,0.50520694,1
LN-00000380,2022-Q1,0.30408576,0
LN-00000381,2023-Q1,0.21263467,0
LN-00000382,2022-Q1,0.8419065,1
LN-00000383,2022-Q2,0.17170674,0
LN-00000384,2022-Q1,0.09072388,0
LN-00000385,2023-Q3,0.059441015,0
LN-00000386,2023-Q2,0.22781947,0
LN-00000387,2023-Q4,0.059434876,0
LN-00000388,2022-Q3,0.09124382,0
LN-00000389,2021-Q2,0.1889409,0
LN-00000390,2021-Q1,0.37985456,0
LN-00000391,2023-Q1,0.48544887,0
LN-00000392,2024-Q3,0.9302472,1
LN-00000393,2023-Q4,0.08897232,0
LN-00000394,2024-Q2,0.1199981,0
LN-00000395,2023-Q2,0.4315227,0
LN-00000396,2023-Q1,0.095092684,0
LN-00000397,2023-Q3,0.11644418,0
LN-00000398,2023-Q2,0.15021326,0
LN-00000399,2023-Q3,0.1683563,0
LN-00000400,2022-Q4,0.6654831,1
LN-00000401,2023-Q2,0.403847,0
LN-00000402,2024-Q2,0.016707703,0
LN-00000403,2024-Q3,0.3642513,0
LN-00000404,2024-Q1,0.054359287,0
LN-00000405,2021-Q4,0.11822069,0
LN-00000406,2021-Q2,0.2178121,0
LN-00000407,2024-Q1,0.011922249,0
LN-00000408,2021-Q1,0.56795245,1
LN-00000409,2024-Q4,0.25720632,0
LN-00000410,2021-Q4,0.20207793,0
LN-00000411,2024-Q2,0.7990539,1
LN-00000412,2024-Q4,0.24165046,0
LN-00000413,2022-Q1,0.061900724,0
LN-00000414,2023-Q4,0.16672024,0
LN-00000415,2022-Q2,0.37668025,0
LN-00000416,2022-Q2,0.10791717,0
LN-00000417,2024-Q2,0.16709702,0
LN-00000418,2023-Q4,0.17488357,0
LN-00000419,2022-Q2,0.15933125,0
LN-00000420,2022-Q2,0.019462667,0
LN-00000421,2024-Q1,0.037305646,0
LN-00000422,2023-Q1,0.08522695,0
LN-00000423,2022-Q1,0.077048786,0
LN-00000424,2024-Q2,0.12733881,0
LN-00000425,2023-Q1,0.14897344,0
LN-00000426,2021-Q3,0.04120699,0
LN-00000427,2024-Q4,0.116324835,0
LN-00000428,2021-Q2,0.9835329,1
LN-00000429,2021-Q3,0.7777939,1
LN-00000430,2023-Q1,0.111464314,0
LN-00000431,2023-Q3,0.27410153,0
LN-00000432,2022-Q2,0.09657267,0
LN-00000433,2022-Q1,0.41546586,0
LN-00000434,2023-Q1,0.99436307,1
LN-00000435,2022-Q4,0.15286863,0
LN-00000436,2023-Q3,0.9252003,1
LN-00000437,2023-Q4,0.695603,1
LN-00000438,2023-Q4,0.041228265,0
LN-00000439,2024-Q3,0.26319712,0
LN-00000440,2024-Q4,0.44909656,0
LN-00000441,2023-Q1,0.062383246,0
LN-00000442,2022-Q3,0.097172335,0
LN-00000443,2023-Q1,0.17811897,0
LN-00000444,2024-Q3,0.076829396,0
LN-00000445,2024-Q2,0.12853405,0
LN-00000446,2024-Q2,0.82630783,1
LN-00000447,2024-Q2,0.997042,1
LN-00000448,2022-Q3,0.024521187,0
LN-00000449,2021-Q3,0.08919435,0
LN-00000450,2023-Q1,0.7952958,1
LN-00000451,2022-Q4,0.2167834,0
LN-00000452,2024-Q2,0.26683733,0
LN-00000453,2022-Q3,0.18222122,0
LN-00000454,2021-Q3,0.1335726,0
LN-00000455,2021-Q3,0.11808179,0
LN-00000456,2024-Q1,0.20782182,0
LN-00000457,2022-Q3,0.97612643,1
LN-00000458,2022-Q4,0.43794465,0
LN-00000459,2024-Q1,0.16618195,0
LN-00000460,2024-Q2,0.12875725,0
LN-00000461,2022-Q3,0.2410755,0
LN-00000462,2024-Q2,0.06608122,0
LN-00000463,2024-Q1,0.4903159,0
LN-00000464,2023-Q3,0.2833765,0
LN-00000465,2024-Q3,0.037095178,0
LN-00000466,2022-Q1,0.86085856,1
LN-00000467,2021-Q3,0.13580221,0
LN-00000468,2022-Q1,0.17785487,0
LN-00000469,2023-Q1,0.4351167,0
LN-00000470,2022-Q2,0.07198677,0
LN-00000471,2022-Q4,0.04216089,0
LN-00000472,2023-Q3,0.15324934,0
LN-00000473,2022-Q3,0.142508,0
LN-00000474,2023-Q3,0.07570242,0
LN-00000475,2022-Q1,0.2193733,0
LN-00000476,2023-Q2,0.9476537,1
LN-00000477,2022-Q3,0.040450703,0
LN-00000478,2022-Q4,0.8899817,1
LN-00000479,2023-Q3,0.86382693,1
LN-00000480,2024-Q1,0.05778807,0
LN-00000481,2021-Q3,0.38502032,0
LN-00000482,2024-Q2,0.06374633,0
LN-00000483,2023-Q3,0.11113195,0
LN-00000484,2022-Q2,0.9615468,1
LN-00000485,2024-Q4,0.7476398,1
LN-00000486,2022-Q3,0.20604357,0
LN-00000487,2022-Q3,0.33289567,0
LN-00000488,2022-Q3,0.10909391,0
LN-00000489,2022-Q2,0.21774788,0
LN-00000490,2024-Q2,0.36654955,0
LN-00000491,2023-Q2,0.5534779,1
LN-00000492,2024-Q2,0.9830445,1
LN-00000493,2023-Q1,0.8127672,1
LN-00000494,2024-Q1,0.90321153,1
LN-00000495,2023-Q1,0.08675766,0
LN-00000496,2021-Q3,0.05356719,0
LN-00000497,2023-Q4,0.3883311,0
LN-00000498,2023-Q1,0.94167197,1
LN-00000499,2022-Q4,0.15476446,0
LN-00000500,2023-Q1,0.33225876,0
LN-00000501,2021-Q3,0.61705375,1
LN-00000502,2022-Q3,0.027079042,0
LN-00000503,2024-Q1,0.9819395,1
LN-00000504,2022-Q4,0.5501616,1
LN-00000505,2022-Q1,0.016250363,0
LN-00000506,2022-Q3,0.18654834,0
LN-00000507,2022-Q2,0.72277826,1
LN-00000508,2024-Q2,0.7444228,1
LN-00000509,2023-Q1,0.78766227,1
LN-00000510,2023-Q3,0.3488267,0
LN-00000511,2021-Q3,0.6223854,1
LN-00000512,2024-Q2,0.42600995,0
LN-00000513,2024-Q3,0.16912755,0
LN-00000514,2024-Q4,0.16742252,0
LN-00000515,2024-Q3,0.70086485,1
LN-00000516,2022-Q1,0.12920749,0
LN-00000517,2024-Q2,0.05059826,0
LN-00000518,2024-Q1,0.089561656,0
LN-00000519,2022-Q1,0.97743136,1
LN-00000520,2022-Q4,0.84842426,1
LN-00000521,2022-Q2,0.1144383,0
LN-00000522,2023-Q3,0.29540393,0
LN-00000523,2022-Q1,0.9848424,1
LN-00000524,2023-Q4,0.065423705,0
LN-00000525,2022-Q3,0.89276004,1
LN-00000526,2024-Q2,0.45273894,0
LN-00000527,2024-Q1,0.37744296,0
LN-00000528,2021-Q2,0.63159305,1
LN-00000529,2021-Q3,0.97078604,1
LN-00000530,2023-Q4,0.80138314,1
LN-00000531,2024-Q3,0.017706202,0
LN-00000532,2023-Q2,0.08876289,0
LN-00000533,2022-Q2,0.106588855,0
LN-00000534,2023-Q1,0.07858626,0
LN-00000535,2024-Q2,0.28791654,0
LN-00000536,2022-Q2,0.87579465,1
LN-00000537,2023-Q2,0.38036638,0
LN-00000538,2023-Q4,0.17001496,0
LN-00000539,2022-Q2,0.96819514,1
LN-00000540,2023-Q3,0.6095963,1
LN-00000541,2024-Q4,0.09600208,0
LN-00000542,2021-Q3,0.07568587,0
LN-00000543,2021-Q2,0.10361958,0
LN-00000544,2024-Q3,0.058099568,0
LN-00000545,2021-Q2,0.7585907,1
LN-00000546,2022-Q3,0.37915194,0
LN-00000547,2024-Q3,0.27930477,0
LN-00000548,2021-Q3,0.12443219,0
LN-00000549,2024-Q3,0.79724807,1
LN-00000550,2023-Q1,0.54397583,1
LN-00000551,2023-Q4,0.16662541,0
LN-00000552,2024-Q2,0.12142306,0
LN-00000553,2022-Q2,0.23400311,0
LN-00000554,2021-Q3,0.97625035,1
LN-00000555,2024-Q2,0.46304896,0
LN-00000556,2023-Q1,0.053532943,0
LN-00000557,2021-Q2,0.9761544,1
LN-00000558,2023-Q4,0.2904893,0
LN-00000559,2024-Q4,0.1596631,0
LN-00000560,2022-Q1,0.18826832,0
LN-00000561,2023-Q3,0.098679274,0
LN-00000562,2021-Q1,0.9265791,1
LN-00000563,2022-Q1,0.092856295,0
LN-00000564,2021-Q4,0.33911717,0
LN-00000565,2023-Q1,0.3557032,0
LN-00000566,2024-Q3,0.069901496,0
LN-00000567,2024-Q2,0.29947308,0
LN-00000568,2023-Q3,0.19461048,0
LN-00000569,2023-Q1,0.16871117,0
LN-00000570,2024-Q2,0.76853776,1
LN-00000571,2023-Q4,0.333867,0
LN-00000572,2021-Q2,0.15592852,0
LN-00000573,2023-Q3,0.95139664,1
LN-00000574,2024-Q4,0.83108807,1
LN-00000575,2022-Q4,0.27364528,0
LN-00000576,2022-Q1,0.027814481,0
LN-00000577,2021-Q1,0.15743347,0
LN-00000578,2022-Q3,0.047216687,0
LN-00000579,2022-Q3,0.2518266,0
LN-00000580,2021-Q3,0.6825076,1
LN-00000581,2023-Q3,0.94398147,1
LN-00000582,2023-Q1,0.986328,1
LN-00000583,2022-Q2,0.19172846,0
LN-00000584,2024-Q2,0.3415328,0
LN-00000585,2022-Q1,0.438176,0
LN-00000586,2021-Q4,0.04703059,0
LN-00000587,2022-Q2,0.030914415,0
LN-00000588,2021-Q3,0.62848145,1
LN-00000589,2021-Q3,0.96584165,1
LN-00000590,2022-Q3,0.23900677,0
LN-00000591,2021-Q1,0.7156906,1
LN-00000592,2023-Q1,0.21766593,0
LN-00000593,2023-Q3,0.17557912,0
LN-00000594,2022-Q2,0.21634421,0
LN-00000595,2024-Q3,0.3362364,0
LN-00000596,2024-Q2,0.5957188,1
LN-00000597,2022-Q3,0.36839545,0
LN-00000598,2024-Q1,0.7649922,1
LN-00000599,2022-Q1,0.2498827,0
LN-00000600,2022-Q3,0.17708589,0
LN-00000601,2024-Q2,0.18518826,0
LN-00000602,2021-Q3,0.9708435,1
LN-00000603,2021-Q4,0.7782852,1
LN-00000604,2022-Q3,0.12005184,0
LN-00000605,2022-Q4,0.7564778,1
LN-00000606,2022-Q1,0.13834518,0
LN-00000607,2022-Q1,0.10961063,0
LN-00000608,2023-Q2,0.13034904,0
LN-00000609,2023-Q3,0.19915676,0
LN-00000610,2023-Q3,0.98196465,1
LN-00000611,2021-Q4,0.072039925,0
LN-00000612,2022-Q1,0.24591543,0
LN-00000613,2022-Q2,0.04069075,0
LN-00000614,2021-Q2,0.36269778,0
LN-00000615,2022-Q2,0.8040157,1
LN-00000616,2022-Q3,0.77478814,1
LN-00000617,2023-Q2,0.64789855,1
LN-00000618,2021-Q3,0.27075624,0
LN-00000619,2021-Q2,0.26429716,0
LN-00000620,2022-Q1,0.21962108,0
LN-00000621,2023-Q3,0.9479794,1
LN-00000622,2022-Q4,0.4847266,0
LN-00000623,2024-Q1,0.76439244,1
LN-00000624,2021-Q4,0.56610125,1
LN-00000625,2024-Q1,0.3867714,0
LN-00000626,2021-Q2,0.25231755,0
LN-00000627,2023-Q1,0.99470115,1
LN-00000628,2024-Q3,0.1995474,0
LN-00000629,2021-Q1,0.22017415,0
LN-00000630,2024-Q1,0.016378002,0
LN-00000631,2022-Q1,0.08387595,0
LN-00000632,2023-Q3,0.48032042,0
LN-00000633,2023-Q1,0.23778522,0
LN-00000634,2022-Q1,0.2604942,0
